"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"05/16/2024 21:19:35:474 -0500"

"MODEL SETTINGS"
"interest","energy_value","climate_model","capacity_s","corn_area","cost_s","nyear_w","degrade_s","#wind_turbines","loan_term","simulation_period","future_process","sun_hrs","ptc_w","soybeans_area","aquifer_thickness","wheat_area","min_aq_thickness","capacity_w","nyear_s","#panel_sets","sg_area","cost_w","wind_factor","degrade_w","itc_s","ptc_s"
"10","50","""RCP4.5""","300","200","4000","30","1","6","1","60","""Repeat Historical""","8","0.03","0","300","125","50","2","30","8","125","2500","60","2","30","0.03"

"""Energy Net Income"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","60","-1980000","1850000","true","""Wind        ""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Wind        ""","true","0","1","104","59"
"""Solar""","true","0","1","14","59"
"""US$0""","true","2","1","13","59"

"""Wind        """,,,,"""Solar""",,,,"""US$0"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","104","true","0","0","14","true","0","0","13","true"
"1","1684438.552420983","104","true","1","-236692.5482576997","14","true","1","0","13","true"
"2","33238.552420982625","104","true","2","-240196.5482576997","14","true","2","0","13","true"
"3","33238.552420982625","104","true","3","-243665.50825769972","14","true","3","0","13","true"
"4","33238.552420982625","104","true","4","-247099.7786576997","14","true","4","0","13","true"
"5","33238.552420982625","104","true","5","-250499.70635369973","14","true","5","0","13","true"
"6","33238.552420982625","104","true","6","-422825.6347727397","14","true","6","0","13","true"
"7","-379561.4475790174","104","true","7","-426157.90390758927","14","true","7","0","13","true"
"8","-379561.4475790174","104","true","8","-429456.8503510904","14","true","8","0","13","true"
"9","-379561.4475790174","104","true","9","-432722.8073301565","14","true","9","0","13","true"
"10","-379561.4475790174","104","true","10","-435956.10473943193","14","true","10","0","13","true"
"11","-691849.4475790174","104","true","11","-439157.0691746146","14","true","11","0","13","true"
"12","-753660.0075790174","104","true","12","-442326.02396544546","14","true","12","0","13","true"
"13","-814234.3563790172","104","true","13","-445463.28920836805","14","true","13","0","13","true"
"14","-873597.2182030175","104","true","14","-448569.18179886136","14","true","14","0","13","true"
"15","-931772.8227905375","104","true","15","-451644.01546344976","14","true","15","0","13","true"
"16","-988784.9152863072","104","true","16","-454688.10079139227","14","true","16","0","13","true"
"17","-1044656.7659321614","104","true","17","-457701.74526605534","14","true","17","0","13","true"
"18","-1099411.1795650986","104","true","18","-460685.2532959718","14","true","18","0","13","true"
"19","-1153070.5049253767","104","true","19","-463638.92624558904","14","true","19","0","13","true"
"20","-1205656.6437784499","104","true","20","-466563.06246571016","14","true","20","0","13","true"
"21","-1257191.0598544609","104","true","21","-469457.95732363005","14","true","21","0","13","true"
"22","-1307694.7876089518","104","true","22","-472323.90323297074","14","true","22","0","13","true"
"23","-1357188.4408083535","104","true","23","-475161.1896832181","14","true","23","0","13","true"
"24","-1405692.220943767","104","true","24","-477970.1032689629","14","true","24","0","13","true"
"25","-1453225.925476472","104","true","25","-480750.92771885026","14","true","25","0","13","true"
"26","-1499808.955918523","104","true","26","-483503.94392423873","14","true","26","0","13","true"
"27","-1545460.325751733","104","true","27","-486229.4299675733","14","true","27","0","13","true"
"28","-1590198.6681882786","104","true","28","-488927.6611504746","14","true","28","0","13","true"
"29","-1634042.2437760932","104","true","29","-491598.9100215469","14","true","29","0","13","true"
"30","-1677008.947852152","104","true","30","-494243.4464039084","14","true","30","0","13","true"
"31","1684438.552420983","104","true","31","-236692.5482576997","14","true","31","0","13","true"
"32","33238.552420982625","104","true","32","-240196.5482576997","14","true","32","0","13","true"
"33","33238.552420982625","104","true","33","-243665.50825769972","14","true","33","0","13","true"
"34","33238.552420982625","104","true","34","-247099.7786576997","14","true","34","0","13","true"
"35","33238.552420982625","104","true","35","-250499.70635369973","14","true","35","0","13","true"
"36","33238.552420982625","104","true","36","-422825.6347727397","14","true","36","0","13","true"
"37","-379561.4475790174","104","true","37","-426157.90390758927","14","true","37","0","13","true"
"38","-379561.4475790174","104","true","38","-429456.8503510904","14","true","38","0","13","true"
"39","-379561.4475790174","104","true","39","-432722.8073301565","14","true","39","0","13","true"
"40","-379561.4475790174","104","true","40","-435956.10473943193","14","true","40","0","13","true"
"41","-691849.4475790174","104","true","41","-439157.0691746146","14","true","41","0","13","true"
"42","-753660.0075790174","104","true","42","-442326.02396544546","14","true","42","0","13","true"
"43","-814234.3563790172","104","true","43","-445463.28920836805","14","true","43","0","13","true"
"44","-873597.2182030175","104","true","44","-448569.18179886136","14","true","44","0","13","true"
"45","-931772.8227905375","104","true","45","-451644.01546344976","14","true","45","0","13","true"
"46","-988784.9152863072","104","true","46","-454688.10079139227","14","true","46","0","13","true"
"47","-1044656.7659321614","104","true","47","-457701.74526605534","14","true","47","0","13","true"
"48","-1099411.1795650986","104","true","48","-460685.2532959718","14","true","48","0","13","true"
"49","-1153070.5049253767","104","true","49","-463638.92624558904","14","true","49","0","13","true"
"50","-1205656.6437784499","104","true","50","-466563.06246571016","14","true","50","0","13","true"
"51","-1257191.0598544609","104","true","51","-469457.95732363005","14","true","51","0","13","true"
"52","-1307694.7876089518","104","true","52","-472323.90323297074","14","true","52","0","13","true"
"53","-1357188.4408083535","104","true","53","-475161.1896832181","14","true","53","0","13","true"
"54","-1405692.220943767","104","true","54","-477970.1032689629","14","true","54","0","13","true"
"55","-1453225.925476472","104","true","55","-480750.92771885026","14","true","55","0","13","true"
"56","-1499808.955918523","104","true","56","-483503.94392423873","14","true","56","0","13","true"
"57","-1545460.325751733","104","true","57","-486229.4299675733","14","true","57","0","13","true"
"58","-1590198.6681882786","104","true","58","-488927.6611504746","14","true","58","0","13","true"
"59","-1634042.2437760932","104","true","59","-491598.9100215469","14","true","59","0","13","true"
